num_packets_up,num_packet_down,total_bytes_up,min_pkt_size_up,max_pkt_size_up,mean_pkt_size_up,std_pkt_size_up,total_bytes_down,min_pkt_size_down,max_pkt_size_down,mean_pkt_size_down,std_pkt_size_down,min_iat_up,max_iat_up,mean_iat_up,std_iat_up,min_iat_dowj,max_iat_down,mean_iat_down,std_iat_down,website
792,762,117084.0,40.0,1385.0,147.83333333333334,256.6315051905832,1248305.0,40.0,33620.0,1638.1955380577429,4392.74653499561,5e-06,5.316798,0.02357507079646018,0.23847997749044492,0.0,5.316617,0.024500409986859404,0.2807133662530071,bbc.co.uk
344,326,56824.0,40.0,1385.0,165.1860465116279,267.7689274765347,474134.0,40.0,36482.0,1454.398773006135,4467.287043233807,7.000000000000001e-06,8.15808,0.05658251603498542,0.5297524812545477,1.0000000000000002e-06,16.811332,0.0597061076923077,0.9324154361875233,theguardian.com
284,281,42787.0,40.0,1617.0,150.65845070422534,290.4179264057286,627338.0,40.0,33620.0,2232.5195729537368,5096.496250977006,5e-06,6.554703000000001,0.06493762897526502,0.5113087247398783,0.0,6.554475,0.06561845357142858,0.5141551036887207,abc.net.au
1152,1012,448131.0,40.0,16071.0,389.0026041666667,980.4733156333969,863040.0,40.0,21051.0,852.8063241106719,2406.0884740271326,2.0000000000000003e-06,3.7569480000000004,0.015386606429192005,0.1309135866808421,0.0,8.189770000000001,0.01751510979228487,0.28612252512476033,indiatimes.com
581,559,114921.0,40.0,4164.0,197.7986230636833,448.367001459854,793253.0,40.0,17560.0,1419.057245080501,3366.5080805213192,0.0,3.2082640000000002,0.032137037931034486,0.21241908765056658,0.0,3.6950450000000004,0.03339905734767025,0.26142127167155643,cnbc.com
538,524,113729.0,40.0,4275.0,211.3921933085502,479.87000537838065,867199.0,40.0,46698.0,1654.9599236641222,4325.90927590956,5e-06,4.062202,0.03527787523277468,0.24592046422338357,0.0,6.3406,0.036214525812619504,0.3511407928836722,cnbc.com
549,495,131473.0,40.0,1861.0,239.47723132969034,400.78239396099826,1048493.0,40.0,64280.0,2118.1676767676768,6449.871653790493,7.000000000000001e-06,7.453422000000001,0.03547710766423358,0.35702053296386205,1.0000000000000002e-06,15.540098,0.039348103238866394,0.699147510929521,nytimes.com
450,394,97424.0,40.0,2904.0,216.49777777777777,384.00119622638067,390370.0,40.0,16100.0,990.7868020304569,2376.87428659538,1.0000000000000002e-06,4.920338,0.040037801781737194,0.33301556856303305,1.0000000000000002e-06,9.307189000000001,0.04573075063613232,0.5339822000266106,express.co.uk
487,473,84385.0,40.0,1573.0,173.27515400410678,279.4623185851329,622401.0,40.0,40920.0,1315.8583509513742,4152.662641206567,0.0,3.6805600000000003,0.03993505555555556,0.2825188558431501,0.0,3.6811330000000004,0.04111608262711865,0.2988764672788163,theguardian.com
374,355,59442.0,40.0,1385.0,158.93582887700535,262.46407368038695,609810.0,40.0,43840.0,1717.774647887324,5045.112955562413,1.1000000000000001e-05,8.434064000000001,0.052097345844504026,0.5202368915555154,0.0,17.196965000000002,0.054881302259887035,0.9139089545971574,theguardian.com
