IP,COUNTRY,LAT,LON,DIST,RTT
109.248.196.2,RU,47.2285,39.7615,8285.807300487248,136.7046356201172
37.252.251.26,CL,-34.1615,-70.7605,8300.184507817326,136.99827194213867
143.202.20.39,AR,-33.8895,-60.5715,8379.736328295314,159.09318923950195
92.223.109.44,RU,56.8495,60.6295,8392.276322680524,139.89815711975098
81.211.199.45,KZ,51.2195,51.3795,8534.009917728576,152.31120586395264
200.7.84.24,UY,-34.8805,-56.1805,8573.149424156807,141.58461093902588
81.211.194.45,KZ,50.3105,57.1495,8861.137022771425,141.55361652374268
92.47.60.130,KZ,50.2775,57.1675,8864.873494903544,157.6796293258667
200.61.6.78,AR,-37.9985,-57.5395,8881.629693731265,163.40763568878174
81.211.198.45,KZ,47.1105,51.9095,8914.124604346287,155.0236701965332
193.169.52.51,RU,54.9885,73.3595,8958.758330523746,152.70514488220215
213.157.192.2,GE,41.7195,44.7075,8999.047250636857,152.29833126068115
94.231.212.79,RU,42.9785,47.5085,9047.093915886264,142.84141063690186
193.188.128.92,LB,33.8875,35.4985,9055.040531053402,125.41351318359375
91.218.5.67,AM,40.2085,44.5215,9112.855399692697,174.09656047821045
146.185.219.73,IL,32.0795,34.8605,9150.610317309589,126.19771957397461
94.247.111.19,RU,55.0315,82.9385,9172.063034747023,168.20533275604248
46.23.125.254,JO,31.9475,35.9085,9232.067729779425,139.1322135925293
81.211.193.45,KZ,51.1695,71.4195,9289.370775900905,159.82553958892822
81.211.201.45,KZ,52.2805,76.9695,9329.308072085541,169.02096271514893
130.193.166.22,IQ,36.2375,44.0085,9409.563058157451,142.70367622375488
81.211.204.45,KZ,49.7895,73.0795,9478.20220078327,162.5643253326416
81.211.202.45,KZ,50.4115,80.2495,9603.66261726249,166.80865287780762
80.241.3.66,KZ,50.4005,80.2515,9604.865294168783,163.4281873703003
176.114.16.104,RU,52.0295,113.4985,9699.414140299388,197.28631973266602
81.211.203.45,KZ,49.9485,82.6295,9705.792952489632,166.19787216186523
92.38.129.121,RU,48.5005,135.0975,9709.306403311968,206.8279266357422
81.211.196.45,KZ,44.8405,65.4995,9709.969352589304,180.20477294921875
185.209.84.141,RU,48.4705,135.0585,9713.472897919084,215.07349014282227
185.150.109.32,IR,35.7605,51.4015,9879.328592962722,159.8832130432129
185.229.28.6,IR,35.7195,51.3815,9881.7964264946,162.83776760101318
